imagen,nombre,precio_dolares,precio_soles,link,stock
https://www.sercoplus.com/25519-home_default/mouse-gaming-halion-tokio-ha-m607-rgb.jpg,MOUSE GAMING HALION TOKIO HA-M607 RGB,9.0,34.92,https://www.sercoplus.com/mouse-gaming/12719-mouse-gaming-halion-tokio-ha-m607-rgb.html,3
https://www.sercoplus.com/11705-home_default/mouse-pad-gaming-hyperx-fury-s-m-36-x-30.jpg,MOUSE PAD GAMING HYPERX FURY S M 360 x 300mm,9.8,38.02,https://www.sercoplus.com/pad-mouse/9780-mouse-pad-gaming-hyperx-fury-s-m-36-x-30.html,7
https://www.sercoplus.com/25529-home_default/mouse-gaming-halion-rocker-ha-m534.jpg,MOUSE GAMING HALION ROCKER HA-M534 RGB,10.0,38.8,https://www.sercoplus.com/mouse-gaming/12723-mouse-gaming-halion-rocker-ha-m534.html,4
https://www.sercoplus.com/10654-home_default/mouse-wireless-microsoft-1850-magenta.jpg,MOUSE WIRELESS MICROSOFT 1850 MAGENTA,10.0,38.8,https://www.sercoplus.com/mouse-inalambrico/8445-mouse-wireless-microsoft-1850-magenta.html,7
https://www.sercoplus.com/10650-home_default/mouse-wireless-microsoft-1850-celeste.jpg,MOUSE MICROSOFT WIRELESS MOBILE 1850 CELESTE,10.0,38.8,https://www.sercoplus.com/mouse-inalambrico/8444-mouse-wireless-microsoft-1850-celeste.html,6
https://www.sercoplus.com/20680-home_default/mouse-logitech-m170-wireless-red.jpg,MOUSE LOGITECH M170 WIRELESS RED,10.0,38.8,https://www.sercoplus.com/mouse-inalambrico/7961-mouse-logitech-m170-wireless-red.html,1
https://www.sercoplus.com/32819-home_default/mouse-optico-inalambrico-microsoft-mobile-1850-1000dpi-receptor-usb-2-4ghz-red-u7z-00031.jpg,MOUSE WIRELESS MICROSOFT 1850 ROJO,10.0,38.8,https://www.sercoplus.com/mouse-inalambrico/7718-mouse-optico-inalambrico-microsoft-mobile-1850-1000dpi-receptor-usb-2-4ghz-red-u7z-00031.html,7
https://www.sercoplus.com/20682-home_default/mouse-logitech-m185-wireless-black-silve.jpg,MOUSE LOGITECH M185 WIRELESS BLACK/SILVE,12.0,46.56,https://www.sercoplus.com/mouse-inalambrico/10684-mouse-logitech-m185-wireless-black-silve.html,20
https://www.sercoplus.com/20690-home_default/mouse-logitech-m185-wireless-red.jpg,MOUSE LOGITECH M185 WIRELESS RED,12.0,46.56,https://www.sercoplus.com/mouse-inalambrico/11516-mouse-logitech-m185-wireless-red.html,8
https://www.sercoplus.com/20686-home_default/mouse-logitech-m185-wirelles-blue.jpg,MOUSE LOGITECH M185 WIRELESS BLUE,12.0,46.56,https://www.sercoplus.com/mouse-inalambrico/11517-mouse-logitech-m185-wirelles-blue.html,10
